TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0x1e5e8a28,UDPv4,0.0.0.0,51482,*,0,,1480,dns.exe,2014-01-08 17:29:33.000000 UTC
0,0x1e5e9258,TCPv4,0.0.0.0,1028,0.0.0.0,0,LISTENING,1480,dns.exe,
0,0x1e5e9300,TCPv6,::1,53,::,0,LISTENING,1480,dns.exe,
0,0x1e5e96e8,TCPv4,127.0.0.1,53,0.0.0.0,0,LISTENING,1480,dns.exe,
0,0x1e5e9ad0,TCPv4,192.168.119.191,53,0.0.0.0,0,LISTENING,1480,dns.exe,
0,0x1e5eb5b8,UDPv4,0.0.0.0,123,*,0,,1088,svchost.exe,2014-01-08 17:29:33.000000 UTC
0,0x1e5eb5b8,UDPv6,::,123,*,0,,1088,svchost.exe,2014-01-08 17:29:33.000000 UTC
0,0x1e5ec3d0,TCPv4,0.0.0.0,1028,0.0.0.0,0,LISTENING,1480,dns.exe,
0,0x1e5ec3d0,TCPv6,::,1028,::,0,LISTENING,1480,dns.exe,
0,0x1e5f7ca8,TCPv4,0.0.0.0,21,0.0.0.0,0,LISTENING,1508,ftpbasicsvr.exe,
0,0x1e5f92c0,TCPv4,0.0.0.0,8080,0.0.0.0,0,LISTENING,1508,ftpbasicsvr.exe,
0,0x1e966e10,TCPv4,0.0.0.0,1030,0.0.0.0,0,LISTENING,616,lsass.exe,
0,0x1e966e10,TCPv6,::,1030,::,0,LISTENING,616,lsass.exe,
0,0x1e966f60,TCPv4,0.0.0.0,1030,0.0.0.0,0,LISTENING,616,lsass.exe,
0,0x1e9c7598,TCPv4,0.0.0.0,1026,0.0.0.0,0,LISTENING,884,svchost.exe,
0,0x1e9f9300,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,848,svchost.exe,
0,0x1e9f9300,TCPv6,::,135,::,0,LISTENING,848,svchost.exe,
0,0x1e9faf60,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,848,svchost.exe,
0,0x1e9ff148,TCPv4,0.0.0.0,1025,0.0.0.0,0,LISTENING,524,wininit.exe,
0,0x1e9ff148,TCPv6,::,1025,::,0,LISTENING,524,wininit.exe,
0,0x1f6b8f58,UDPv4,0.0.0.0,0,*,0,,1160,svchost.exe,2014-01-08 02:17:53.000000 UTC
0,0x1fc64360,TCPv4,0.0.0.0,1031,0.0.0.0,0,LISTENING,604,services.exe,
0,0x1fc66de0,TCPv4,0.0.0.0,1031,0.0.0.0,0,LISTENING,604,services.exe,
0,0x1fc66de0,TCPv6,::,1031,::,0,LISTENING,604,services.exe,
0,0x1fc6cc30,UDPv4,0.0.0.0,65013,*,0,,1000,svchost.exe,2014-01-08 02:19:54.000000 UTC
