TreeDepth,Index,Address,Module,Symbol
0,96,0x81adde36,ntoskrnl,NtSinglePhaseReject
0,97,0x81adeb5f,ntoskrnl,NtSetInformationTransaction
0,98,0x81adf3c7,ntoskrnl,NtSetInformationTransactionManager
0,99,0x819afcee,ntoskrnl,NtSetInformationResourceManager
0,100,0x819bdb10,ntoskrnl,NtCreateTransactionManager
0,101,0x819aff72,ntoskrnl,NtOpenTransactionManager
0,102,0x81adf18f,ntoskrnl,NtRenameTransactionManager
0,103,0x81adf2fc,ntoskrnl,NtRollforwardTransactionManager
0,104,0x81add438,ntoskrnl,NtRecoverEnlistment
0,105,0x819bf38e,ntoskrnl,NtRecoverResourceManager
0,106,0x819bbd2f,ntoskrnl,NtRecoverTransactionManager
0,107,0x819bd664,ntoskrnl,NtCreateResourceManager
0,108,0x819af83c,ntoskrnl,NtOpenResourceManager
0,109,0x819bf403,ntoskrnl,NtGetNotificationResourceManager
0,110,0x81adef43,ntoskrnl,NtQueryInformationResourceManager
0,111,0x819b3b9c,ntoskrnl,NtCreateEnlistment
0,112,0x81add26f,ntoskrnl,NtOpenEnlistment
0,113,0x81add700,ntoskrnl,NtSetInformationEnlistment
0,114,0x81add493,ntoskrnl,NtQueryInformationEnlistment
0,115,0x819c7c4f,ntoskrnl,NtCreateWaitablePort
0,116,0x81aa1468,ntoskrnl,NtDebugActiveProcess
0,117,0x81aa1b2d,ntoskrnl,NtDebugContinue
0,118,0x81a84648,ntoskrnl,NtDelayExecution
0,119,0x819ee6f5,ntoskrnl,NtDeleteAtom
0,120,0x81af0867,ntoskrnl,NtDeleteBootEntry
0,121,0x81af1b0b,ntoskrnl,NtDeleteDriverEntry
0,122,0x819aba67,ntoskrnl,NtDeleteFile
0,123,0x819ef7f4,ntoskrnl,NtDeleteKey
0,124,0x81ac6633,ntoskrnl,NtDeletePrivateNamespace
0,125,0x81a89853,ntoskrnl,NtDeleteObjectAuditAlarm
0,126,0x819ea1d7,ntoskrnl,NtDeleteValueKey
0,127,0x81a70964,ntoskrnl,NtDeviceIoControlFile
0,128,0x819890b9,ntoskrnl,NtDisplayString
0,129,0x81a33d85,ntoskrnl,NtDuplicateObject
0,130,0x81a25009,ntoskrnl,NtDuplicateToken
0,131,0x81af0a68,ntoskrnl,NtEnumerateBootEntries
0,132,0x81af1d0a,ntoskrnl,NtEnumerateDriverEntries
0,133,0x81a41ab8,ntoskrnl,NtEnumerateKey
0,134,0x81af0637,ntoskrnl,NtEnumerateSystemEnvironmentValuesEx
0,135,0x81ade94d,ntoskrnl,NtEnumerateTransactionObject
0,136,0x81a0b8bf,ntoskrnl,NtEnumerateValueKey
0,137,0x81abf9a7,ntoskrnl,NtExtendSection
0,138,0x819e43c0,ntoskrnl,NtFilterToken
0,139,0x819ee1b9,ntoskrnl,NtFindAtom
0,140,0x81a2c6cb,ntoskrnl,NtFlushBuffersFile
0,141,0x819ec2e3,ntoskrnl,NtFlushInstructionCache
0,142,0x819bf512,ntoskrnl,NtFlushKey
0,143,0x81851a52,ntoskrnl,NtFlushProcessWriteBuffers
0,144,0x819e89e0,ntoskrnl,NtFlushVirtualMemory
0,145,0x81ac25be,ntoskrnl,NtFlushWriteBuffer
0,146,0x81ac1c87,ntoskrnl,NtFreeUserPhysicalPages
0,147,0x818cbd17,ntoskrnl,NtFreeVirtualMemory
0,148,0x818fcc89,ntoskrnl,NtFreezeRegistry
0,149,0x81adedda,ntoskrnl,NtFreezeTransactions
0,150,0x81a63861,ntoskrnl,NtFsControlFile
0,151,0x81a8c64c,ntoskrnl,NtGetContextThread
0,152,0x81acb08f,ntoskrnl,NtGetDevicePowerState
0,153,0x819e6693,ntoskrnl,NtGetNlsSectionPtr
0,154,0x819cb81a,ntoskrnl,NtGetPlugPlayEvent
0,155,0x8190b2ec,ntoskrnl,NtGetWriteWatch
0,156,0x819f520f,ntoskrnl,NtImpersonateAnonymousToken
0,157,0x81a1a0af,ntoskrnl,NtImpersonateClientOfPort
0,158,0x81a07829,ntoskrnl,NtImpersonateThread
0,159,0x81a05a30,ntoskrnl,NtInitializeNlsFiles
0,160,0x819ab45c,ntoskrnl,NtInitializeRegistry
0,161,0x81acae7c,ntoskrnl,NtInitiatePowerAction
0,162,0x81a8e8b7,ntoskrnl,NtIsProcessInJob
0,163,0x81acb073,ntoskrnl,NtIsSystemResumeAutomatic
0,164,0x81999e77,ntoskrnl,NtListenPort
0,165,0x819a9ad2,ntoskrnl,NtLoadDriver
0,166,0x819bf3e2,ntoskrnl,NtLoadKey
0,167,0x8198dd1e,ntoskrnl,NtLoadKey2
0,168,0x819c14a0,ntoskrnl,NtLoadKeyEx
0,169,0x81a14f51,ntoskrnl,NtLockFile
0,170,0x819ea4fa,ntoskrnl,NtLockProductActivationKeys
0,171,0x8197b25a,ntoskrnl,NtLockRegistryKey
0,172,0x81855fc1,ntoskrnl,NtLockVirtualMemory
0,173,0x819e7552,ntoskrnl,NtMakePermanentObject
0,174,0x81a199c9,ntoskrnl,NtMakeTemporaryObject
0,175,0x81ac08e8,ntoskrnl,NtMapUserPhysicalPages
0,176,0x81ac0e5f,ntoskrnl,NtMapUserPhysicalPagesScatter
