TreeDepth,Offset,Start,Size,Service Key,Driver Name,Name
0,0x1f66d030,0x859b1000,0x1a000,Serial,Serial,\\Driver\\Serial
0,0x1f66ddc8,0x859cb000,0xa000,Serenum,Serenum,\\Driver\\Serenum
0,0x1f66ede8,0x859d5000,0xb000,fdc,fdc,\\Driver\\fdc
0,0x1f66f030,0x859e0000,0x18000,cdrom,cdrom,\\Driver\\cdrom
0,0x1f66f138,0x807d0000,0x2e000,vm3dmp,vm3dmp,\\Driver\\vm3dmp
0,0x1f670860,0x88803000,0x9f000,DXGKrnl,DXGKrnl,\\Driver\\DXGKrnl
0,0x1f6715a0,0x88936000,0x3780,CmBatt,CmBatt,\\Driver\\CmBatt
0,0x1f671a40,0x88927000,0xf000,usbehci,usbehci,\\Driver\\usbehci
0,0x1f6759c0,0x888af000,0xb000,usbuhci,usbuhci,\\Driver\\usbuhci
0,0x1f675ae8,0x888f8000,0x1d000,E1G60,E1G60,\\Driver\\E1G60
0,0x1f691730,0x88982000,0x17000,Rasl2tp,Rasl2tp,\\Driver\\Rasl2tp
0,0x1f6958c0,0x8893a000,0xf000,intelppm,intelppm,\\Driver\\intelppm
0,0x1f69ff38,0x88949000,0x2e000,iScsiPrt,iScsiPrt,\\Driver\\iScsiPrt
0,0x1f6a01e8,0x889a4000,0x23000,NdisWan,NdisWan,\\Driver\\NdisWan
0,0x1f6a0aa0,0x88999000,0xb000,NdisTapi,NdisTapi,\\Driver\\NdisTapi
0,0x1f6a2a60,0x88af3000,0x34000,usbhub,usbhub,\\Driver\\usbhub
0,0x1f6a6388,0x889d6000,0x14000,PptpMiniport,PptpMiniport,\\Driver\\PptpMiniport
0,0x1f6a7958,0x889c7000,0xf000,RasPppoe,RasPppoe,\\Driver\\RasPppoe
0,0x1f6acb30,0x889ea000,0x15000,RasSstp,RasSstp,\\Driver\\RasSstp
0,0x1f6ae030,0x88a96000,0x10000,TermDD,TermDD,\\Driver\\TermDD
0,0x1f6aeef8,0x88a0d000,0x89000,rdpdr,rdpdr,\\Driver\\rdpdr
0,0x1f6afdc8,0x88aa6000,0x1380,swenum,swenum,\\Driver\\swenum
0,0x1f6b3a90,0x88ad2000,0xa000,mssmbios,mssmbios,\\Driver\\mssmbios
0,0x1f6b82b8,0x9339b000,0xb000,TDTCP,TDTCP,\\Driver\\TDTCP
0,0x1f6be880,0x88adc000,0xd000,umbus,umbus,\\Driver\\umbus
0,0x1f6c3778,0x88ae9000,0xa000,flpydisk,flpydisk,\\Driver\\flpydisk
0,0x1f831450,0x85658000,0x8000,msisadrv,msisadrv,\\Driver\\msisadrv
0,0x1f874240,0x85800000,0x71000,KSecDD,KSecDD,\\Driver\\KSecDD
0,0x1f8b7958,0x85696000,0x2900,Compbatt,Compbatt,\\Driver\\Compbatt
0,0x1f8fee98,0x8573f000,0x8000,atapi,atapi,\\Driver\\atapi
0,0x1f94e3d8,0x8068a000,0x41000,CLFS,CLFS,\\Driver\\CLFS
0,0x1f9ad180,0x85b96000,0x10000,agp440,agp440,\\Driver\\agp440
0,0x1f9af188,0x85a05000,0x10f000,Ntfs,Ntfs,\\FileSystem\\Ntfs
0,0x1f9b47a0,0x85973000,0x7e00,storflt,storflt,\\Driver\\storflt
0,0x1f9cd1e8,0x85b4d000,0x8000,spldr,spldr,\\Driver\\spldr
0,0x1f9e12f8,0x85b14000,0x39000,volsnap,volsnap,\\Driver\\volsnap
0,0x1f9e4220,0x85b64000,0x11000,disk,disk,\\Driver\\disk
0,0x1f9e4b38,0x85b55000,0xf000,Mup,Mup,\\FileSystem\\Mup
0,0x1fad8848,0x81e0b000,0x10b000,NDIS,NDIS,\\Driver\\NDIS
0,0x1fb12550,0x85731000,0xd580,vsock,vsock,\\Driver\\vsock
0,0x1fb12a58,0x85687000,0xf000,partmgr,partmgr,\\Driver\\partmgr
0,0x1fb364f8,0x856fc000,0x7000,intelide,intelide,\\Driver\\intelide
0,0x1fb604b0,0x85765000,0x18000,LSI_SAS,LSI_SAS,\\Driver\\LSI_SAS
0,0x1fc46ec8,0x85660000,0x27000,pci,pci,\\Driver\\pci
0,0x1fcb0648,0x85871000,0xe7000,Tcpip,Tcpip,\\Driver\\Tcpip
0,0x1fd1e480,0x856b2000,0x4a000,volmgrx,volmgrx,\\Driver\\volmgrx
0,0x1fd1ee40,0x857be000,0x32000,FltMgr,FltMgr,\\FileSystem\\FltMgr
0,0x1fd522b0,0x85711000,0xfb80,vmci,vmci,\\Driver\\vmci
0,0x1fd700d0,0x856a3000,0xf000,volmgr,volmgr,\\Driver\\volmgr
0,0x1fe156d8,0x8183a000,0x0,\\Driver\\PnpManager,PnpManager,\\Driver\\PnpManager
0,0x1fef09b8,0x0,0x0,-,RAW,\\FileSystem\\RAW
0,0x1fef1a08,0x85609000,0x46000,ACPI,ACPI,\\Driver\\ACPI
0,0x1fef21c0,0x81f7b000,0x7c000,Wdf01000,Wdf01000,\\Driver\\Wdf01000
0,0x1ff22240,0x85721000,0x10000,mountmgr,mountmgr,\\Driver\\mountmgr
